"SongName","ArtistName","AlbumName"
"Junior's Eyes","Black Sabbath","Never Say Die!"
"How Do You Do It?","Gerry & The Pacemakers","Gerry Cross the Mersey: All the Hits of Gerry & the Pacemakers"
"Stay Awhile","Dennis Wilson","Fiesta Fever"
"Do It for the Kids","Velvet Revolver","Contraband"
"Any Way You Want It","The Dave Clark Five","The History of the Dave Clark Five"
"Island Of The Honest Man (Album Version)","Hot Hot Heat","Elevator"
"Toulouse Street","The Doobie Brothers","Toulouse Street"
"I Keep Forgettin' (Every Time You're Near)","Michael McDonald","The Very Best of Michael McDonald"
"My Propeller","Arctic Monkeys","Humbug"
"Millenium","Robby Williams","Now: 1998 Disc 1"
"Drop Dead Legs","Van Halen","1984 (Remastered)"
"There's No Easy Way Out","Survivor","Rocky IV Original Soundtrack"
"And the Beat Goes On","The Whispers","Grand Theft Auto: Vice City, Volume 6: Fever 105"
"Hey Joe","Tim Rose","Creative Outlaws - Us Undergro"
"Sweet Freedom","Michael McDonald","Running Scared"
"Delivering The Goods","Judas Priest","Hell Bent For Leather (The Rem"
