"SongName","ArtistName","AlbumName"
"Dont Change A Thing","INXS","The Swing"
"Juicebox","The Strokes","First Impressions of Earth"
"Common as Muck","Ian Dury and the Blockheads","Sex & Drugs & Rock & Roll"
"Brick by Brick","Arctic Monkeys","Suck It and See"
"Knee Socks","Arctic Monkeys","AM"
"No, Not Now","Hot Hot Heat","Make Up the Breakdown"
"Amazing","Aerosmith","Get a Grip"
"Round Round we go","Trooper","Two for the Show"
"Eat the Rich","Aerosmith","Get a Grip"
"Somebody Find a New Love","The Dave Clark Five","The History of the Dave Clark Five"
"Why Is It So Hard?","Charles Bradley","No Time for Dreaming"
"Where Do We Go from Here (feat. Menahan Street Band)","Charles Bradley","Victim of Love"
"Sea Song","Robert Wyatt","Rock Bottom"
"No Good Trying","Syd Barrett","The Madcap Laughs"
"Pussy","Rammstein","Pussy"
"Hardcore Days & Softcore Nights","Aqueduct","I Sold Gold"
"Doo Doo Doo Doo Doo (Heartbreaker)","The Rolling Stones","Goats Head Soup"
"Cheap Wine","Cold Chisel","Chisel: The Best of Cold Chisel"
