"SongName","ArtistName","AlbumName"
"so young","Suede","Suede"
"Hair of the Dog","Nazareth","The Very Best of Nazareth"
"You Showed Me","The Turtles","20 Greatest Hits"
"Glad All Over","The Dave Clark Five","Glad All Over"
"So-Lo","Iron Butterfly","Heavy"
"Iron Butterfly Theme","Iron Butterfly","Heavy"
"Celluloid Heroes","The Kinks","Unknown Album"
"Im Into Something Good","Herman's Hermits","Herman's Hermits - Greatest Hits [ABKCo]"
"Soul Experience (LP Version)","Iron Butterfly","Light And Heavy (The Best Of)"
"There's a Kind of Hush","Herman's Hermits","All The Hits Plus More"
"San Francisco Bay","Lee Oskar","Before the Rain"
"Mundian to Bach Ke","Panjabi MC","The Album"
