"SongName","ArtistName","AlbumName"
"Fiercely Co-Dependant","Limblifter","I/O"
"I Sat By the Ocean","Queens of The Stone Age","Like Clockwork"
"Wasted Youth","MeatLoaf","Bat Out Of Hell2 Back intoHell"
"Moonlight Feels Right","Starbuck","Moonlight Feels Right"
"Everything Louder Than Everything Else","Meat Loaf","Bat Out of Hell II: Back Into Hell"
"My story","R. kelly feat. 2Chainz","Single"
"I'm A Flirt","R Kelly Feat T.I. & T Pain","Double Up"
"Goin On'","The Beach Boys","Good Vibrations"
"Endless Harmony","The Beach Boys","Endless Harmony"
"Loop de Loop (Flip Flop Flyin' in an Aeroplane)","The Beach Boys","Endless Harmony"
"All Alone","The Beach Boys","Endless Harmony"
"Frozen Love","Buckingham Nicks","Buckingham Nicks"
"Song for the Dead","Queens of the Stone Age","Songs for the Deaf"
"Wicked Garden","Stone Temple Pilots","90s Alternative"
"Curse of the Witches","Strawberry Alarm Clock","Wake Up... It's Tomorrow"
"Go With the Flow","Queens of the Stone Age","Songs for the Deaf"
"Long Distance Winner","Buckingham Nicks","Buckingham Nicks"
"Knock Knock","Matt Berry","Kill The Wolf"
"Everybody Knows That You Are Insane","Queens of the Stone Age","Lullabies to Paralyze"
"In My Head","Queens of the Stone Age","Lullabies to Paralyze"
"I’m on Fire for You Baby","April Wine","Greatest Hits"
"Malibu","Hole","Celebrity Skin"
"Ohio ","The Isley Brothers","Gilles Peterson - Incredible Sound of Gilles Peterson [2CD]"
"Malibu","Hole","Celebrity Skin"
"Most Anything You Want","Iron Butterfly","In-A-Gadda-Da-Vida"
"Lather","Jefferson Airplane","Crown of Creation"
"The Crystal Ship","The Doors","Live at the Aquarius Theatre: The Second Performance"
