"SongName","ArtistName","AlbumName"
"Hot Smoke & Sassafras","The Bubble Puppy","A Gathering Of Promises"
"Girls & Boys","Prince & The Revolution","Parade: Music From the Motion Picture Under the Cherry Moon"
"Suedehead","Morrisey","Morrissey Greatest Hits"
"Drop Your Guns","April Wine","On Record"
"I Wanna Be Adored","The Stone Roses","The Stone Roses"
"Barefoot in Baltimore","Strawberry Alarm Clock","Incense & Peppermints"
"The Death Of You And Me","Noel Gallagher's High Flying Birds","Noel Gallagher's High Flying Birds"
"Firth of Fifth","Genesis","Selling England by the Pound"
"Dusk","Genesis","Trespass"
"Ruby","Kenny Rogers","20 Great Years"
"I'm Your Kind of Guy (demo)","Buffalo Springfield","Buffalo Springfield Box Set"
"Strawberries Mean Love","Strawberry Alarm Clock","Incense & Peppermints"
"Expecting to Fly","Buffalo Springfield","Retrospective: The Best of Buffalo Springfield"
"Change (New version)","Tears for Fears","The Best of Remixes"
"Old Hippie","The Bellamy Brothers","Number One Hits"
"They Saw the Fat One Coming","Strawberry Alarm Clock","Wake Up... It's Tomorrow"
"Walk On The Water","The Move","The BBC Sessions"
"California Girls","The Move","The BBC Sessions"
"It’s All Over Now, Baby Blue","The Byrds","Ballad of Easy Rider"
"Hey Joe","Love","Love"
"Go and Say Goodbye","Buffalo Springfield","Buffalo Springfield Box Set"
