"SongName","ArtistName","AlbumName"
"Association - Along Comes Mary","The Association","AM Gold - The Mid-'60s"
"505","Arctic Monkeys","Favourite Worst Nightmare"
"Let The Good Times Roll","Ray Charles","Unknown Album"
"Elenore","The Turtles","20 Greatest Hits"
"Ian Dury and the Blockheads - Spasticus Autisticus","Ian Dury and the Blockheads",""
"Quiet","Ian Dury and the Blockheads","Sex & Drugs & Rock & Roll"
"I Believe in Your Love","Charles Bradley","No Time for Dreaming"
"Go To Hell","Megadeth","All Treasures"
"Regrets","James Brown","Dead on the Heavy Funk 1975-1983 Disc 2"
"Friday on My Mind","The Easybeats","Easy"
"Funky Pretty","The Beach Boys","Holland"
"Fuckin Ada","Ian Dury & The Blockheads","Laughter"
"Cuddly Toy","Va - www.musicasparabaixar.org","Alan Partridge: Alpha Papa - www.musicasparabaixar.org"
"Spt. Peppers Lonely Hearts Club Band","Jimi Hendrix","The Jimi Hendrix Experience (Disc 2)"
