"SongName","ArtistName","AlbumName"
"Too Much Time on My Hands","Styx","Boat on the River"
"Don’t Brother Me","Beady Eye","BE"
"Fire in the Head","The Tea Party","The Edges of Twilight"
"Alone On The Rope","Noel Gallagher's High Flying Birds -","High Flying Birds"
"On the Way Home","Crosby, Stills, Nash & Young","4 Way Street"
"Flowing Smoothly","The Electric Prunes","The Singles"
"Bye Bye Badman","The Stone Roses","The Stone Roses"
"She Bangs the Drums","The Stone Roses","The Very Best of the Stone Roses"
"Heaven Coming Down","The Tea Party","Tangents"
"Two Men in New Tuxedos","Wolf Parade","Expo 86"
"Oh You, Old Thing","Wolf Parade","Expo 86"
"Falling to Pieces","Faith No More","The Real Thing"
"Underwear","Pulp","Different Class"
"Tired Of Waiting For You","The Kinks","Greatest Hits Vol 1"
